Date,Signal,FX_name,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return
2018-05-17,0.0035451046021959007,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-18,0.0035489492966014383,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-21,0.003556720046949893,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-22,0.003557586658891032,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-23,0.0035480044212146664,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-24,0.003531211732904438,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-25,0.003536982019720259,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-29,0.003526588164744884,USD,0.019943799999999998,-0.0004429,105.34,647630.4930868591,1245047.5941767718,0,63.76304930868591
2018-05-30,0.0035089926155575995,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-05-31,0.003535177862791734,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-01,0.003548465909756126,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-04,0.003558536065003582,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-06-05,0.0035619032222861933,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
