Date,Signal,FX_name,Period,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return,Drawdown
2011-05-03,-1.791708592402408e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-04,-1.4506108630074621e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-05,-1.7521330981207228e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-06,-1.8930482617696143e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-09,-2.521936241772771e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-10,-1.923312496932006e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-11,-1.989224982690274e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-12,-2.1447811350050472e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-13,-2.1520774159178302e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-16,-2.278186535398241e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-17,-2.2241169508330216e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-18,-1.3617814032196307e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-19,-1.1206451900447334e-05,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-20,-8.803499150111804e-06,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-23,-9.933332419276297e-06,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-24,-2.0839668877226103e-06,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-25,-7.770332235423894e-06,-,-,0,0,1,12325.898039583004,0,0,0.2325898039583001,-0.06840583464180039
2011-05-26,4.314468752286693e-05,AUD,2M,0.048799999999999996,0.0016,86.529,12325.898039583004,24651.796079166008,0.014928409896170166,0.2325898039583001,-0.06840583464180039
2011-05-27,4.314468752286693e-05,AUD,2M,0.048799999999999996,0.0016,86.493,12325.898039583004,24651.796079166008,0.01278522968851083,0.2325898039583001,-0.06840583464180039
2011-05-31,4.314468752286693e-05,AUD,2M,0.048775000000000006,0.0016,86.99799999999998,12325.898039583004,24651.796079166008,0.02612513989663252,0.2325898039583001,-0.06840583464180039
2011-06-01,4.314468752286693e-05,AUD,2M,0.048825,0.0016,85.926,12325.898039583004,24651.796079166008,0.0010293054079239874,0.2325898039583001,-0.06840583464180039
2011-06-02,4.314468752286693e-05,AUD,2M,0.048799999999999996,0.0016,86.306,12325.898039583004,24651.796079166008,0.009919890932618311,0.2325898039583001,-0.06840583464180039
2011-06-03,4.314468752286693e-05,AUD,2M,0.048825,0.0016,86.053,12325.898039583004,24651.796079166008,0.0027531748736786318,0.2325898039583001,-0.06840583464180039
2011-06-06,4.314468752286693e-05,AUD,2M,0.04885,0.0016,85.81,12325.898039583004,24651.796079166008,-0.001641420571833729,0.2325898039583001,-0.06840583464180039
2011-06-07,4.314468752286693e-05,AUD,2M,0.048725,0.0015969,85.87,12325.898039583004,24651.796079166008,-0.00014472588501726993,0.2325898039583001,-0.06840583464180039
2011-06-08,4.314468752286693e-05,AUD,2M,0.048775000000000006,0.0015844,84.88,12325.898039583004,24651.796079166008,-0.023468040578303994,0.2325898039583001,-0.06840583464180039
2011-06-09,4.314468752286693e-05,AUD,2M,0.048725,0.0015844,85.404,12325.898039583004,24651.796079166008,-0.011324313685799937,0.2325898039583001,-0.06840583464180039
2011-06-10,4.314468752286693e-05,AUD,2M,0.048674999999999996,0.0015844,84.637,12325.898039583004,24651.796079166008,-0.029440935196568048,0.2325898039583001,-0.06840583464180039
2011-06-13,4.314468752286693e-05,AUD,2M,0.04865,0.0015844,85.072,12325.898039583004,24651.796079166008,-0.019012983887913348,0.2325898039583001,-0.06840583464180039
2011-06-14,4.314468752286693e-05,AUD,2M,0.04865,0.0015844,86.00200000000002,12325.898039583004,24651.796079166008,0.002651235309794546,0.2325898039583001,-0.06840583464180039
2011-06-15,4.314468752286693e-05,AUD,2M,0.048674999999999996,0.0015844,85.62899999999998,12325.898039583004,24651.796079166008,-0.006215864429861339,0.2325898039583001,-0.06840583464180039
2011-06-16,4.314468752286693e-05,AUD,2M,0.04845,0.0015844,85.12200000000001,12325.898039583004,24651.796079166008,-0.01784390768709387,0.2325898039583001,-0.06840583464180039
2011-06-17,4.314468752286693e-05,AUD,2M,0.04832499999999999,0.0015844,85.03299999999999,12325.898039583004,24651.796079166008,-0.020423880516529613,0.2325898039583001,-0.06840583464180039
2011-06-20,4.314468752286693e-05,AUD,2M,0.04832499999999999,0.0015844,84.928,12325.898039583004,24651.796079166008,-0.02249701160150355,0.2325898039583001,-0.06840583464180039
2011-06-21,4.314468752286693e-05,AUD,2M,0.04832499999999999,0.0015844,85.065,12325.898039583004,24651.796079166008,-0.019515429816372772,0.2325898039583001,-0.06840583464180039
2011-06-22,4.314468752286693e-05,AUD,2M,0.04832499999999999,0.0015844,84.896,12325.898039583004,24651.796079166008,-0.02391792167098025,0.2325898039583001,-0.06840583464180039
2011-06-23,4.314468752286693e-05,AUD,2M,0.0483,0.0015844,84.72399999999998,12325.898039583004,24651.796079166008,-0.02714059522753177,0.2325898039583001,-0.06840583464180039
2011-06-24,4.314468752286693e-05,AUD,2M,0.0483,0.0015844,84.37200000000001,12325.898039583004,24651.796079166008,-0.03592224903102586,0.2325898039583001,-0.06840583464180039
2011-06-27,4.314468752286693e-05,AUD,2M,0.048125,0.0015844,84.479,12325.898039583004,24651.796079166008,-0.03299760161290341,0.2325898039583001,-0.06840583464180039
2011-06-28,4.314468752286693e-05,AUD,2M,0.0482,0.0015844,85.509,12325.898039583004,24651.796079166008,-0.008771648236127624,0.2325898039583001,-0.06840583464180039
2011-06-29,4.314468752286693e-05,AUD,2M,0.048225,0.0015844,86.289,12325.898039583004,24651.796079166008,0.009242244568197675,0.2325898039583001,-0.06840583464180039
2011-06-30,4.314468752286693e-05,AUD,2M,0.048225,0.0015844,86.381,12325.898039583004,24651.796079166008,0.011548273602766576,0.2325898039583001,-0.06840583464180039
2011-07-01,4.314468752286693e-05,AUD,2M,0.048225,0.0015844,87.04899999999998,12325.898039583004,24651.796079166008,0.026246297045321346,0.2325898039583001,-0.06840583464180039
2011-07-04,4.314468752286693e-05,AUD,2M,0.0482,0.0015844,86.727,12325.898039583004,24651.796079166008,0.018737533912561014,0.2325898039583001,-0.06840583464180039
2011-07-05,4.314468752286693e-05,AUD,2M,0.0482,0.0015844,86.689,12325.898039583004,24651.796079166008,0.018621068281109945,0.2325898039583001,-0.06840583464180039
2011-07-06,4.314468752286693e-05,AUD,2M,0.0482,0.0015844,86.583,12325.898039583004,24651.796079166008,0.016082117515481702,0.2325898039583001,-0.06840583464180039
2011-07-07,4.314468752286693e-05,AUD,2M,0.048225,0.0015844,87.55,12325.898039583004,24651.796079166008,0.03852182534045031,0.2325898039583001,-0.06840583464180039
2011-07-08,4.314468752286693e-05,AUD,2M,0.048275,0.0015844,86.695,12325.898039583004,24651.796079166008,0.018017181022583588,0.2325898039583001,-0.06840583464180039
2011-07-11,4.314468752286693e-05,AUD,2M,0.04825,0.0015844,85.53,12325.898039583004,24651.796079166008,-0.008312611664664047,0.2325898039583001,-0.06840583464180039
2011-07-12,4.314468752286693e-05,AUD,2M,0.0482,0.0015844,83.975,12325.898039583004,24651.796079166008,-0.044666355849277584,0.2325898039583001,-0.06840583464180039
2011-07-13,4.314468752286693e-05,AUD,2M,0.048275,0.0015844,84.978,12325.898039583004,24651.796079166008,-0.02148845104445891,0.2325898039583001,-0.06840583464180039
2011-07-14,4.314468752286693e-05,AUD,2M,0.048275,0.0015844,84.86399999999998,12325.898039583004,24651.796079166008,-0.023887672803247325,0.2325898039583001,-0.06840583464180039
2011-07-15,4.314468752286693e-05,AUD,2M,0.0482,0.0015844,84.28299999999999,12325.898039583004,24651.796079166008,-0.03905271241334698,0.2325898039583001,-0.06840583464180039
2011-07-18,4.314468752286693e-05,AUD,2M,0.048174999999999996,0.0015844,83.838,12325.898039583004,24651.796079166008,-0.04770253313768984,0.2325898039583001,-0.06840583464180039
2011-07-19,4.314468752286693e-05,AUD,2M,0.0482,0.0015844,84.98200000000001,12325.898039583004,24651.796079166008,-0.021047125791046797,0.2325898039583001,-0.06840583464180039
2011-07-20,4.314468752286693e-05,AUD,2M,0.048225,0.0015844,84.695,12325.898039583004,24651.796079166008,-0.02798032510090262,0.2325898039583001,-0.06840583464180039
2011-07-21,4.314468752286693e-05,AUD,2M,0.04832499999999999,0.0015844,84.885,12325.898039583004,24651.796079166008,-0.023405462301660716,0.2325898039583001,-0.06840583464180039
2011-07-22,4.314468752286693e-05,AUD,2M,0.04835,0.0015969,85.225,12325.898039583004,24651.796079166008,-0.01711007446159549,0.2325898039583001,-0.06840583464180039
2011-07-25,4.314468752286693e-05,AUD,2M,0.04832499999999999,0.0016,84.90899999999998,12042.540713750432,24651.796079166008,0,0.2042540713750427,-0.09674156722505778
2011-07-26,-2.826629367480571e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-07-27,-2.791812469449262e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-07-28,-2.3885294754055764e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-07-29,-5.605848546375025e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-01,-4.503682598600012e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-02,-3.6973423372943515e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-03,-2.808774179552387e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-04,-3.410201371267796e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-05,-7.325079959019654e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-08,-9.620590041004018e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-09,-0.00011632404925898676,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-10,-0.00010850489193148238,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-11,-9.362797036271964e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-12,-8.022408141228343e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-15,-4.0611383548050384e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-16,-4.2799534733850564e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-17,-6.756284154407766e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-18,-8.156602660081003e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-19,-4.703680413176148e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
2011-08-22,-2.226280472261699e-05,-,-,0,0,1,12042.540713750432,0,0,0.2042540713750427,-0.09674156722505778
